ReturnID,InvoiceID,SalesLineID,ReturnDate,ReturnDateKey,DistributorID,CustomerID,ProductID,ReturnQty,ReturnValue,ReturnReason
RET000001,INV0000125,LINE000000303,2024-01-18,20240118,D013,C01161,SKU031,4,10855.7,Customer Refusal
RET000002,INV0000219,LINE000000512,2024-01-11,20240111,D012,C01093,SKU008,7,5144.76,Short-dated
RET000003,INV0000279,LINE000000651,2024-01-14,20240114,D017,C01492,SKU003,4,2049.6,Damaged
RET000004,INV0000294,LINE000000690,2024-01-14,20240114,D012,C01056,SKU006,1,1495.29,Promo Return
RET000005,INV0000315,LINE000000738,2024-01-24,20240124,D013,C01168,SKU037,4,2277.61,Wrong Item
RET000006,INV0000335,LINE000000797,2024-01-12,20240112,D003,C00281,SKU052,6,4152.64,Damaged
RET000007,INV0000361,LINE000000857,2024-01-12,20240112,D017,C01484,SKU028,4,6253.01,Damaged
RET000008,INV0000372,LINE000000885,2024-01-16,20240116,D016,C01429,SKU046,3,5128.22,Wrong Item
RET000009,INV0000417,LINE000001003,2024-01-18,20240118,D008,C00675,SKU013,7,2909.4,Damaged
RET000010,INV0000469,LINE000001129,2024-01-13,20240113,D001,C00100,SKU009,1,1055.65,Expired
RET000011,INV0000473,LINE000001138,2024-01-22,20240122,D016,C01431,SKU021,8,4348.19,Damaged
RET000012,INV0000487,LINE000001173,2024-01-13,20240113,D002,C00153,SKU013,1,408.09,Promo Return
RET000013,INV0000494,LINE000001188,2024-01-16,20240116,D007,C00597,SKU021,45,23374.82,Damaged
RET000014,INV0000521,LINE000001254,2024-01-15,20240115,D006,C00533,SKU024,3,10591.38,Expired
RET000015,INV0000540,LINE000001300,2024-01-22,20240122,D006,C00567,SKU006,5,7495.83,Expired
RET000016,INV0000631,LINE000001504,2024-01-23,20240123,D015,C01346,SKU016,2,1278.79,Expired
RET000017,INV0000712,LINE000001701,2024-01-20,20240120,D016,C01375,SKU057,3,3584.51,Wrong Item
RET000018,INV0000780,LINE000001869,2024-01-20,20240120,D015,C01344,SKU007,3,3783.25,Wrong Item
RET000019,INV0000826,LINE000001974,2024-01-23,20240123,D002,C00136,SKU025,2,5973.27,Wrong Item
