CustomerID,Customer,Channel,Segment,StoreSize,CreditTermsDays,RouteID,DistributorID,RegionID,Region,State,OpenedYear
C00001,Customer 00001,E-commerce,Micro,Medium,21,RT0001,D001,R1,North,Kaduna,2018
C00002,Customer 00002,Wholesale,SME,Small,30,RT0001,D001,R1,North,Kaduna,2022
C00003,Customer 00003,HoReCa,Micro,Medium,14,RT0001,D001,R1,North,Kaduna,2023
C00004,Customer 00004,Wholesale,Key Account,Small,14,RT0001,D001,R1,North,Kaduna,2022
C00005,Customer 00005,E-commerce,Mid-market,Medium,14,RT0001,D001,R1,North,Kaduna,2024
C00006,Customer 00006,Wholesale,Micro,Small,14,RT0001,D001,R1,North,Kaduna,2018
C00007,Customer 00007,General Trade,Micro,Medium,30,RT0001,D001,R1,North,Kaduna,2024
C00008,Customer 00008,Modern Trade,Micro,Large,30,RT0001,D001,R1,North,Kaduna,2018
C00009,Customer 00009,General Trade,Mid-market,Large,14,RT0001,D001,R1,North,Kaduna,2018
C00010,Customer 00010,Modern Trade,SME,Small,7,RT0001,D001,R1,North,Kaduna,2021
C00011,Customer 00011,Modern Trade,Micro,Small,30,RT0001,D001,R1,North,Kaduna,2020
C00012,Customer 00012,Modern Trade,Micro,Small,7,RT0001,D001,R1,North,Kaduna,2016
C00013,Customer 00013,Wholesale,SME,Medium,7,RT0001,D001,R1,North,Kaduna,2017
C00014,Customer 00014,General Trade,SME,Small,7,RT0001,D001,R1,North,Kaduna,2019
C00015,Customer 00015,General Trade,SME,Medium,7,RT0002,D001,R1,North,Kaduna,2021
C00016,Customer 00016,Wholesale,Micro,Small,30,RT0002,D001,R1,North,Kaduna,2020
C00017,Customer 00017,General Trade,SME,Large,14,RT0002,D001,R1,North,Kaduna,2019
C00018,Customer 00018,Modern Trade,Mid-market,Small,7,RT0002,D001,R1,North,Kaduna,2017
C00019,Customer 00019,General Trade,Mid-market,Medium,0,RT0002,D001,R1,North,Kaduna,2019
C00020,Customer 00020,HoReCa,SME,Medium,7,RT0002,D001,R1,North,Kaduna,2017
C00021,Customer 00021,General Trade,Mid-market,Medium,0,RT0002,D001,R1,North,Kaduna,2016
C00022,Customer 00022,General Trade,SME,Small,7,RT0002,D001,R1,North,Kaduna,2020
C00023,Customer 00023,Modern Trade,Key Account,Large,21,RT0002,D001,R1,North,Kaduna,2016
C00024,Customer 00024,Wholesale,Micro,Small,14,RT0002,D001,R1,North,Kaduna,2022
C00025,Customer 00025,Wholesale,Mid-market,Medium,14,RT0002,D001,R1,North,Kaduna,2020
C00026,Customer 00026,Wholesale,SME,Medium,0,RT0003,D001,R1,North,Kaduna,2017
C00027,Customer 00027,General Trade,SME,Medium,21,RT0003,D001,R1,North,Kaduna,2016
C00028,Customer 00028,Wholesale,SME,Small,7,RT0003,D001,R1,North,Kaduna,2022
C00029,Customer 00029,General Trade,SME,Medium,0,RT0003,D001,R1,North,Kaduna,2020
C00030,Customer 00030,General Trade,SME,Small,7,RT0003,D001,R1,North,Kaduna,2021
C00031,Customer 00031,General Trade,SME,Medium,14,RT0003,D001,R1,North,Kaduna,2021
C00032,Customer 00032,Modern Trade,SME,Small,30,RT0003,D001,R1,North,Kaduna,2021
C00033,Customer 00033,General Trade,SME,Small,30,RT0003,D001,R1,North,Kaduna,2016
C00034,Customer 00034,General Trade,SME,Small,21,RT0003,D001,R1,North,Kaduna,2016
C00035,Customer 00035,Wholesale,Key Account,Large,0,RT0003,D001,R1,North,Kaduna,2016
C00036,Customer 00036,Modern Trade,Micro,Medium,21,RT0003,D001,R1,North,Kaduna,2023
C00037,Customer 00037,General Trade,Micro,Small,21,RT0003,D001,R1,North,Kaduna,2022
C00038,Customer 00038,Wholesale,SME,Small,30,RT0003,D001,R1,North,Kaduna,2018
C00039,Customer 00039,E-commerce,Micro,Small,30,RT0003,D001,R1,North,Kaduna,2020
C00040,Customer 00040,Wholesale,Micro,Small,21,RT0003,D001,R1,North,Kaduna,2023
C00041,Customer 00041,General Trade,SME,Small,7,RT0003,D001,R1,North,Kaduna,2020
C00042,Customer 00042,Modern Trade,Mid-market,Medium,0,RT0003,D001,R1,North,Kaduna,2017
C00043,Customer 00043,General Trade,Mid-market,Medium,14,RT0003,D001,R1,North,Kaduna,2022
C00044,Customer 00044,General Trade,Micro,Medium,7,RT0003,D001,R1,North,Kaduna,2023
C00045,Customer 00045,HoReCa,Mid-market,Small,30,RT0004,D001,R1,North,Kaduna,2021
C00046,Customer 00046,Wholesale,Mid-market,Large,7,RT0004,D001,R1,North,Kaduna,2017
C00047,Customer 00047,General Trade,Micro,Medium,14,RT0004,D001,R1,North,Kaduna,2019
C00048,Customer 00048,Wholesale,SME,Medium,14,RT0004,D001,R1,North,Kaduna,2019
C00049,Customer 00049,General Trade,SME,Medium,14,RT0004,D001,R1,North,Kaduna,2018
C00050,Customer 00050,HoReCa,SME,Small,30,RT0004,D001,R1,North,Kaduna,2021
C00051,Customer 00051,General Trade,Micro,Medium,7,RT0004,D001,R1,North,Kaduna,2017
C00052,Customer 00052,Wholesale,SME,Small,30,RT0004,D001,R1,North,Kaduna,2022
C00053,Customer 00053,General Trade,SME,Small,21,RT0004,D001,R1,North,Kaduna,2016
C00054,Customer 00054,Modern Trade,Micro,Medium,14,RT0004,D001,R1,North,Kaduna,2022
C00055,Customer 00055,General Trade,Micro,Small,7,RT0004,D001,R1,North,Kaduna,2022
C00056,Customer 00056,General Trade,Mid-market,Medium,21,RT0004,D001,R1,North,Kaduna,2021
C00057,Customer 00057,Modern Trade,SME,Small,14,RT0004,D001,R1,North,Kaduna,2017
C00058,Customer 00058,HoReCa,SME,Small,21,RT0004,D001,R1,North,Kaduna,2024
C00059,Customer 00059,General Trade,SME,Small,14,RT0004,D001,R1,North,Kaduna,2016
C00060,Customer 00060,Wholesale,Micro,Small,21,RT0004,D001,R1,North,Kaduna,2023
C00061,Customer 00061,Wholesale,Mid-market,Medium,21,RT0004,D001,R1,North,Kaduna,2019
C00062,Customer 00062,Wholesale,Micro,Large,21,RT0004,D001,R1,North,Kaduna,2017
C00063,Customer 00063,E-commerce,Micro,Small,30,RT0004,D001,R1,North,Kaduna,2023
C00064,Customer 00064,General Trade,SME,Small,0,RT0004,D001,R1,North,Kaduna,2019
C00065,Customer 00065,Wholesale,SME,Small,14,RT0005,D001,R1,North,Kaduna,2023
C00066,Customer 00066,HoReCa,SME,Small,30,RT0005,D001,R1,North,Kaduna,2021
C00067,Customer 00067,General Trade,Micro,Small,14,RT0005,D001,R1,North,Kaduna,2017
C00068,Customer 00068,General Trade,SME,Medium,0,RT0005,D001,R1,North,Kaduna,2018
C00069,Customer 00069,General Trade,SME,Large,7,RT0005,D001,R1,North,Kaduna,2020
C00070,Customer 00070,Wholesale,SME,Small,14,RT0005,D001,R1,North,Kaduna,2018
C00071,Customer 00071,General Trade,SME,Medium,7,RT0005,D001,R1,North,Kaduna,2020
C00072,Customer 00072,Modern Trade,SME,Medium,21,RT0005,D001,R1,North,Kaduna,2018
C00073,Customer 00073,Wholesale,SME,Small,21,RT0005,D001,R1,North,Kaduna,2020
C00074,Customer 00074,Wholesale,Mid-market,Medium,0,RT0005,D001,R1,North,Kaduna,2022
C00075,Customer 00075,General Trade,Micro,Small,21,RT0005,D001,R1,North,Kaduna,2024
C00076,Customer 00076,Wholesale,Micro,Small,21,RT0005,D001,R1,North,Kaduna,2018
C00077,Customer 00077,General Trade,SME,Small,7,RT0005,D001,R1,North,Kaduna,2021
C00078,Customer 00078,Modern Trade,Mid-market,Small,14,RT0006,D001,R1,North,Kaduna,2022
C00079,Customer 00079,Wholesale,Micro,Small,21,RT0006,D001,R1,North,Kaduna,2018
C00080,Customer 00080,General Trade,Micro,Small,0,RT0006,D001,R1,North,Kaduna,2018
C00081,Customer 00081,General Trade,Mid-market,Medium,7,RT0006,D001,R1,North,Kaduna,2023
C00082,Customer 00082,Wholesale,SME,Small,14,RT0006,D001,R1,North,Kaduna,2021
C00083,Customer 00083,General Trade,SME,Small,14,RT0006,D001,R1,North,Kaduna,2019
C00084,Customer 00084,General Trade,Micro,Medium,0,RT0006,D001,R1,North,Kaduna,2023
C00085,Customer 00085,General Trade,Micro,Medium,7,RT0006,D001,R1,North,Kaduna,2016
C00086,Customer 00086,General Trade,SME,Medium,0,RT0006,D001,R1,North,Kaduna,2017
C00087,Customer 00087,Wholesale,Micro,Small,7,RT0006,D001,R1,North,Kaduna,2018
C00088,Customer 00088,General Trade,Micro,Small,14,RT0006,D001,R1,North,Kaduna,2018
C00089,Customer 00089,Modern Trade,SME,Medium,7,RT0006,D001,R1,North,Kaduna,2016
C00090,Customer 00090,General Trade,Mid-market,Medium,0,RT0007,D001,R1,North,Kaduna,2021
C00091,Customer 00091,General Trade,SME,Medium,7,RT0007,D001,R1,North,Kaduna,2022
C00092,Customer 00092,General Trade,SME,Large,0,RT0007,D001,R1,North,Kaduna,2016
C00093,Customer 00093,Wholesale,Key Account,Large,14,RT0007,D001,R1,North,Kaduna,2023
C00094,Customer 00094,Wholesale,SME,Large,14,RT0007,D001,R1,North,Kaduna,2024
C00095,Customer 00095,General Trade,SME,Small,14,RT0007,D001,R1,North,Kaduna,2017
C00096,Customer 00096,Wholesale,Micro,Large,7,RT0007,D001,R1,North,Kaduna,2021
C00097,Customer 00097,General Trade,SME,Small,7,RT0007,D001,R1,North,Kaduna,2022
C00098,Customer 00098,Modern Trade,SME,Small,0,RT0007,D001,R1,North,Kaduna,2016
C00099,Customer 00099,E-commerce,Key Account,Small,14,RT0007,D001,R1,North,Kaduna,2022
